year,month,url
2016,7,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2016/VRA_do_Ms_072016_BIC.zip
2016,8,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2016/VRA_do_MS_082016_BO.zip
2016,9,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2016/vra_do_mes_092016_bo.zip
2016,10,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2016/vra_do_mes_102016_bo.zip
2016,11,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2016/VRA_do_MS_112016.zip
2016,12,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2016/VRA_do_MS_122016.zip
2015,1,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2015/vra_do_mes_2015_1.zip
2015,2,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2015/vra_do_mes_2015_2.zip
2015,3,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2015/vra_do_mes-2015_03.zip
2015,4,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2015/vra_do_mes-2015_04.zip
2015,5,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2015/vra_do-mes_2015_05.zip
2015,6,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2015/vra_do-mes_2015_06.zip
2015,7,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2015/vra_do-mes_2015_07.zip
2015,8,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2015/vra_do-mes_2015_08.zip
2015,9,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2015/vra_do-mes_2015_09.zip
2015,10,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2015/vra_do-mes_2015_10.zip
