code,brazilian,state,latitude,longitude
SBJI,1,RO,-10.870800018299999,-61.8465003967
SBDO,1,MS,-22.2019,-54.926601
LSZH,0,,47.464699,8.54917
OMDB,0,,25.25279999,55.36439896
FAJS,0,,-26.133333,28.25
SBVG,1,MG,-21.5900993347,-45.473300933800004
KORD,0,,41.9786,-87.9048
SWJI,1,RO,-10.870800018299999,-61.8465003967
KLAX,0,,33.94250107,-118.4079971
SOCA,0,,4.819809914,-52.36040115
CYYZ,0,,43.67720032,-79.63059998
SWLC,1,GO,-17.8347225189209,-50.95611190795898
SWJN,1,MT,-11.419444,-58.701668000000005
SBCR,1,MS,-19.0119438171,-57.6713905334
KIAD,0,,38.94449997,-77.45580292
SBMH,1,PR,-23.479444,-52.012221999999994
SBCN,1,GO,-17.725299835205,-48.607498168945
SAAR,0,,-32.9036,-60.785
SSDO,1,MS,-22.2019,-54.926601
SNDC,1,PA,-8.033289909362793,-49.97990036010742
SBTK,1,AC,-8.1552600860596,-70.783302307129
SJRG,1,RS,-32.083065000000005,-52.167184000000006
SWBC,1,AM,-0.981292,-62.919601
SWMW,1,AM,-3.3721699999999997,-57.7248
SNVS,1,PA,-1.6365300416946411,-50.44359970092773
SNGI,1,BA,-14.208200454711914,-42.74610137939453
SWLB,1,AM,-7.278969764709473,-64.76950073242189
SBTG,1,MS,-20.754199981689,-51.68420028686499
KMEM,0,,35.04240036,-89.97669983
FNLU,0,,-8.858369999999997,13.2312
SBUA,1,AM,-0.14835,-66.9855
SNOX,1,PA,-1.714079976081848,-55.83620071411133
SWHT,1,AM,-7.532120227810001,-63.072101593
SWEI,1,AM,-6.6395301818847665,-69.87979888916016
SWGI,1,TO,-11.73960018157959,-49.13219833374024
SBTC,1,BA,-15.3551998138,-38.9990005493
SSER,1,RS,-27.66189956665039,-52.2682991027832
SNJR,1,MG,-21.0849990845,-44.2247238159
SBLJ,1,SC,-27.7821006775,-50.28150177
SEQU,0,,-0.141144007444,-78.4881973267
SSJA,1,SC,-27.1714000702,-51.5532989502
SBUG,1,RS,-29.782199859600002,-57.0382003784
SNPD,1,MG,-18.672800064086914,-46.4911994934082
EDDM,0,,48.353802,11.7861
SBLP,1,BA,-13.2621002197,-43.4081001282
LPPR,0,,41.24810028,-8.681389809
SDCO,1,SP,-23.478001000000003,-47.490002000000004
MDPC,0,,18.56739998,-68.36340332
GVAC,0,,16.7414,-22.9494
SBPM,1,TO,-10.29,-48.357778
SSKW,1,RO,-11.495999999999999,-61.4508
ELLX,0,,49.6233333,6.204444400000002
SWKN,1,GO,-17.724722,-48.61
SBRD,1,MT,-16.586,-54.7248
SBAA,1,PA,-8.34835,-49.301497999999995
KFLL,0,,26.072599,-80.152702
SBRG,1,RS,-32.081666999999996,-52.163333
SMJP,0,,5.452829838,-55.18780136
SEQM,0,,-0.129166667,-78.3575
SNMZ,1,PA,-1.741449952125549,-52.23609924316406
SWFX,1,MT,-11.632399559020994,-50.68960189819336
SDSC,1,SP,-21.875401,-47.903703
SWRP,1,MT,-10.188278,-59.457273
SBCD,1,SC,-26.78840065,-50.9398002625
SBJA,1,SC,-28.6753,-49.0596
SNFX,1,PA,-6.6413,-51.9523
SBMC,1,GO,-13.5491,-48.195301
KCLT,0,,35.21400070000001,-80.94309998
SWBR,1,AM,-4.4063401222229,-59.60240173339844
LTBA,0,,40.976898,28.8146
LEBL,0,,41.2971,2.07846
SWJH,1,MT,-11.286667,-57.538889000000005
SNTF,1,BA,-17.524499893188,-39.66849899292
SBTD,1,PR,-24.6863,-53.697497999999996
SNMA,1,PA,-1.9958000183105469,-54.07419967651367
SBFC,1,SP,-20.592222,-47.383055999999996
SBLE,1,BA,-12.4822998047,-41.2770004272
SBPB,1,PI,-2.89374995232,-41.73199844359999
SBMS,1,RN,-5.2019200325,-37.3642997742
SBUF,1,BA,-9.4008798599243,-38.250598907471
KDTW,0,,42.21239853,-83.35340118
SWTP,1,AM,-0.3786,-64.9923
SBOI,1,AP,3.85548996925354,-51.79690170288086
SSZR,1,RS,-27.9067,-54.520401
SBDB,1,MS,-21.2473,-56.4525
SULS,0,,-34.85509872,-55.09429932
SBVC,1,BA,-14.907885,-40.914804
SIZX,1,MT,-11.2966,-57.5495
SIMK,1,SP,-20.592199,-47.3829
SWOB,1,AM,-2.5326099395800004,-66.0831985474
SNMU,1,BA,-18.048900604248047,-39.864200592041016
SJNP,1,PA,-7.125833,-55.400833
SNDV,1,MG,-20.180700302124,-44.870899200439
SAZS,0,,-41.151199,-71.157501
SBMY,1,AM,-5.8113799095153995,-61.278301239014
OTBD,0,,25.261101,51.565102
OTHH,0,,25.273056,51.608056
SILC,1,MT,-13.037861,-55.95025
SNNG,1,PA,-7.125833,-55.400833
SJHG,1,MT,-10.634400367736816,-51.5635986328125
MDSD,0,,18.42970085,-69.66889954
SNKE,1,PA,-9.31997013092041,-50.32849884033203
SNTI,1,PA,-1.867169976234436,-55.51440048217773
FAOR,0,,-26.1392,28.246
SBSI,1,MT,-11.885000999999999,-55.58610899999999
SYCJ,0,,6.498549937999999,-58.25410079999999
SDCG,1,AM,-3.46792950765,-68.9204120636
SKRG,0,,6.1645400000000015,-75.4231
GMMN,0,,33.36750031,-7.589970112
SNDT,1,MG,-18.232000351,-43.650398254399995
SBJE,1,CE,-2.906425,-40.357338
SBSO,1,MT,-12.479177,-55.672341
SSNM,1,MT,-9.965832710266113,-54.8849983215332
SWNK,1,AM,-8.83456,-67.312401
SSVI,1,SC,-26.99970054626465,-51.14189910888672
SLCB,0,,-17.42110062,-66.17710114
SNGV,1,MT,-12.721846000000001,-52.38028
SBBW,1,MT,-15.8613004684,-52.388900756800005
OMAA,0,,24.43300056,54.65110016
SNIG,1,CE,-6.346640110015869,-39.293800354003906
MMUN,0,,21.03650093,-86.87709808
GVNP,0,,14.92450047,-23.49349976
SNYA,1,PA,-1.4919439554214478,-52.57833480834961
SNDM,1,SP,-23.4404,-46.4352
SWJU,1,MT,-10.305832862854004,-58.48944473266602
SUPE,0,,-34.91699982,-54.91699982
SAME,0,,-32.83169937,-68.79290009
HAAB,0,,8.977890015,38.79930115
SBBT,1,SP,-20.584499359131,-48.594100952148
SWMP,1,MT,-9.785960000000001,-54.908
SSTD,1,RS,-28.55083274841309,-51.59611129760742
SEGU,0,,-2.15741992,-79.88359833
SSUM,1,PR,-23.7987003326416,-53.31380081176758
SWTU,1,MT,-13.465527999999999,-58.866935
SNTS,1,PB,-7.038990020751952,-37.2515983581543
SNBS,1,MA,-7.52603006362915,-46.05329895019531
GOBD,0,,14.67,-17.073332999999998
SSTL,1,MS,-20.754199981689,-51.68420028686499
SBPP,1,MS,-22.54960060119629,-55.702598571777344
SNDB,1,PA,-4.0855560302734375,-54.91083145141602
SBGM,1,RO,-10.786399841308594,-65.28479766845703
MUHA,0,,22.98920059,-82.40910339
SSPB,1,PR,-26.217184000000003,-52.694463
SURV,0,,-30.97459984,-55.47620010000001
SBJR,1,RJ,-22.986773,-43.372194
SDRS,1,RJ,-22.4785003662,-44.4803009033
SWTS,1,MT,-14.662,-57.443501
GCTS,0,,28.04450035,-16.57250023
SWNA,1,AM,-5.118030071258545,-60.36489868164063
SWIQ,1,GO,-13.5491,-48.195301
MMMD,0,,20.93700027,-89.65769959
SARI,0,,-25.737301,-54.4734
SNVB,1,BA,-13.2965,-38.992401
SSUW,1,PR,-22.775956,-51.505539
SNQD,1,PB,-6.7854399681099995,-38.2333984375
SNTO,1,MG,-17.89229965209961,-41.51359939575195
SSFB,1,PR,-26.059200286865234,-53.0634994506836
SBAS,1,SP,-22.64,-50.453056
LLBG,0,,32.01139832,34.88669968
SNBI,1,MA,-4.227709770202637,-44.81999969482422
SCDA,0,,-20.53520012,-70.1812973
EGKK,0,,51.148102,-0.190278
SBBQ,1,MG,-21.2672,-43.761101000000004
SWFN,1,AM,-3.0727779865264893,-60.02111053466797
SDAM,1,SP,-22.85919952392578,-47.10820007324219
